time (us),flowVelocityX[cm/s],secFlowVelocityX[cm/s]
39037629,0,0
39038639,0,0
39039650,0,0
39040649,0,0
39041695,0,0
39042662,0,0
39043663,0,0
39044664,0,0
39045666,0,0
39046671,0,0
39047709,0,0
39048701,0,0
39049688,0,0
39050686,0,0
39051689,0,0
39052694,0,0
39053693,0,0
39054714,0,0
39055726,0,0
39056715,0,0
39057718,0,0
39058728,0,0
39059735,0,0
39060766,0,0
39061807,0,0
39062788,0,0
39063794,0,0
39064796,0,0
39065798,0,0
39066804,0,0
39067854,0,0
39068815,0,0
39069822,0,0
39070822,0,0
39071829,0,0
39072829,0,0
39073829,0,0
39074873,0,0
39075844,0,0
39076857,0,0
39077854,0,0
39078854,0,0
39079861,0,0
39080894,0,0
39081893,0,0
39082867,0,0
39083874,0,0
39084879,0,0
39085886,0,0
39086898,0,0
39087933,0,0
39088895,0,0
39089900,0,0
39090905,0,0
39091919,0,0
39092917,0,0
39093926,0,0
39094929,0,0
39095949,0,0
39096943,0,0
39097945,0,0
39098942,0,0
39099948,0,0
39100984,0,0
39101972,0,0
39102962,0,0
39103966,0,0
39104967,0,0
39105971,0,0
39106982,0,0
39108024,0,0
39108996,0,0
39109996,0,0
39111000,0,0
39112007,0,0
39113006,0,0
39114011,0,0
39115055,0,0
39116035,0,0
39117025,0,0
39118023,0,0
39119033,0,0
39120039,0,0
39121076,0,0
39122072,0,0
39123056,0,0
39124062,0,0
39125064,0,0
39126071,0,0
39127075,0,0
39128108,0,0
39129083,0,0
39130079,0,0
39131086,0,0
39132093,0,0
39133095,0,0
39134132,0,0
39135215,0,0
39136172,0,0
39137177,0,0
39138175,0,0
39139182,0,0
39140185,0,0
39141224,0,0
39142197,0,0
39143200,0,0
39144207,0,0
39145210,0,0
39146214,0,0
39147224,0,0
39148226,0,0
39149251,0,0
39150319,0,0
39151301,0,0
39152307,0,0
39153313,0,0
39154314,0,0
39155323,0,0
39156325,0,0
39157333,0,0
39158333,0,0
39159338,0,0
39160344,0,0
39161344,0,0
39162345,0,0
39163354,0,0
39164356,0,0
39165353,0,0
39166356,0,0
39167366,0,0
39168367,0,0
39169376,0,0
39170416,0,0
39171397,0,0
39172395,0,0
39173384,0,0
39174388,0,0
39175396,0,0
39176401,0,0
39177431,0,0
39178430,0,0
39179424,0,0
39180425,0,0
39181427,0,0
39182439,0,0
39183447,0,0
39184453,0,0
39185461,0,0
39186469,0,0
39187475,0,0
39188473,0,0
39189482,0,0
39190484,0,0
39191487,0,0
39192496,0,0
39193498,0,0
39194500,0,0
39195503,0,0
39196520,0,0
39197533,0,0
39198540,0,0
39199527,0,0
39200530,0,0
39201531,0,0
39202531,0,0
39203547,0,0
39204548,0,0
39205554,0,0
39206552,0,0
39207564,0,0
39208564,0,0
39209572,0,0
39210573,0,0
39211577,0,0
39212586,0,0
39213591,0,0
39214597,0,0
39215594,0,0
39216610,0,0
39217633,0,0
39218616,0,0
39219606,0,0
39220609,0,0
39221617,0,0
39222619,0,0
39223624,0,0
39224624,0,0
39225633,0,0
39226635,0,0
39227648,0,0
39228647,0,0
39229642,0,0
39230650,0,0
39231655,0,0
39232660,0,0
39233664,0,0
39234662,0,0
39235665,0,0
39236702,0,0
39237694,0,0
39238706,0,0
39239692,0,0
39240701,0,0
39241703,0,0
39242724,0,0
39243733,0,0
39244735,0,0
39245738,0,0
39246740,0,0
39247749,0,0
39248754,0,0
39249749,0,0
39250749,0,0
39251754,0,0
39252763,0,0
39253765,0,0
39254773,0,0
39255772,0,0
39256804,0,0
39257803,0,0
39258793,0,0
39259790,0,0
39260798,0,0
39261798,0,0
39262802,0,0
39263807,0,0
39264817,0,0
39265818,0,0
39266822,0,0
39267835,0,0
39268843,0,0
39269836,0,0
39270841,0,0
39271847,0,0
39272854,0,0
39273861,0,0
39274881,0,0
39275875,0,0
39276912,0,0
39277909,0,0
39278890,0,0
39279891,0,0
39280891,0,0
39281897,0,0
39282905,0,0
39283914,0,0
39284927,0,0
39285927,0,0
39286935,0,0
39287936,0,0
39288940,0,0
39289940,0,0
39290948,0,0
39291960,0,0
39292964,0,0
39293962,0,0
39294969,0,0
39295966,0,0
39297008,0,0
39297994,0,0
39298986,0,0
39299986,0,0
39300990,0,0
39302005,0,0
39303007,0,0
39304011,0,0
39305024,0,0
39306024,0,0
39307024,0,0
39308033,0,0
39309039,0,0
39310042,0,0
39311035,0,0
39312042,0,0
39313049,0,0
39314050,0,0
39315059,0,0
39316061,0,0
39317102,0,0
39318088,0,0
39319077,0,0
39320077,0,0
39321082,0,0
39322087,0,0
39323091,0,0
39324098,0,0
39325099,0,0
39326101,0,0
39327101,0,0
39328107,0,0
39329103,0,0
39330108,0,0
39331114,0,0
39332119,0,0
39333127,0,0
39334134,0,0
39335180,0,0
39336190,0,0
39337221,0,0
39338218,0,0
39339195,0,0
39340200,0,0
39341205,0,0
39342209,0,0
39343211,0,0
39344224,0,0
39345227,0,0
39346231,0,0
39347231,0,0
39348245,0,0
39349237,0,0
39350241,0,0
39351247,0,0
39352252,0,0
39353250,0,0
39354251,0,0
39355252,0,0
39356268,0,0
39357302,0,0
39358293,0,0
39359269,0,0
39360274,0,0
39361278,0,0
39362282,0,0
39363289,0,0
39364291,0,0
39365294,0,0
39366305,0,0
39367307,0,0
39368324,0,0
39369320,0,0
39370331,0,0
39371334,0,0
39372341,0,0
39373346,0,0
39374354,0,0
39375352,0,0
39376361,0,0
39377401,0,0
39378395,0,0
39379375,0,0
39380378,0,0
39381381,0,0
39382379,0,0
39383385,0,0
39384386,0,0
39385390,0,0
39386400,0,0
39387401,0,0
39388419,0,0
39389417,0,0
39390419,0,0
39391427,0,0
39392438,0,0
39393441,0,0
39394434,0,0
39395440,0,0
39396443,0,0
39397447,0,0
39398472,0,0
39399445,0,0
39400446,0,0
39401455,0,0
39402462,0,0
39403463,0,0
39404466,0,0
39405470,0,0
39406474,0,0
39407506,0,0
39408505,0,0
39409489,0,0
39410497,0,0
39411504,0,0
39412506,0,0
39413521,0,0
39414555,0,0
39415543,0,0
39416536,0,0
39417540,0,0
39418554,0,0
39419545,0,0
39420552,0,0
39421586,0,0
39422559,0,0
39423564,0,0
39424567,0,0
39425569,0,0
39426577,0,0
39427631,0,0
39428626,0,0
39429604,0,0
39430611,0,0
39431614,0,0
39432619,0,0
39433623,0,0
39434667,0,0
39435643,0,0
39436645,0,0
39437652,0,0
39438657,0,0
39439654,0,0
39440674,0,0
39441682,0,0
39442669,0,0
39443672,0,0
39444675,0,0
39445676,0,0
39446683,0,0
39447728,0,0
39448718,0,0
39449693,0,0
39450741,0,0
39451746,0,0
39452752,0,0
39453755,0,0
39454762,0,0
39455778,0,0
39456768,0,0
39457783,0,0
39458785,0,0
39459787,0,0
39460816,0,0
39461805,0,0
39462796,0,0
39463800,0,0
39464805,0,0
39465804,0,0
39466807,0,0
39467866,0,0
39468843,0,0
39469828,0,0
39470830,0,0
39471834,0,0
39472834,0,0
39473889,0,0
39474897,0,0
39475918,0,0
39476903,0,0
39477915,0,0
39478914,0,0
39479916,0,0
39480953,0,0
39481942,0,0
39482941,0,0
39483940,0,0
39484943,0,0
39485953,0,0
39486958,0,0
39487985,0,0
39488983,0,0
39489968,0,0
39490970,0,0
